UTTERANCE,SCENARIO,ANNOTATION_USER,ANNOTATION_SYSTEM,AGENT_TEMPLATE_UTTERANCE
are pets allowed,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
how my credit score affects home buying,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
i looking for a comfortable home for buy,customer wants to know what the first step to buying a home is,FAQ(info=first_step_to_purchase),ANSWER(info=getting pre-approved for a mortgage),first step is to get pre-approved for a mortgage
can i keep my dog here,customer wants to know how much customerr down payment should be,FAQ(info=amount_of_down_payment),ANSWER(info=minimal 3.5% down payment),minimal 3.5% down payment
title insurance,"customer wants to know about other fees, beside downpayment",REQUEST(fee),OFFER_SLOT_VALUE(fee=trash_fee),Fee includes trash fee
the price of the house,customer wants to know what the first step to buying a home is,FAQ(info=first_step_to_purchase),ANSWER(info=getting pre-approved for a mortgage),first step is to get pre-approved for a mortgage
what the duration of the lease term,customer wants to know the duration of the lease term,REQUEST(lease_duration),OFFER_SLOT_VALUE(lease_duration=2 years),Lease duration is 2 years
how much is the size of the apartment,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
what is the average time needed to buy a home,customer wants to know how long it usually takes to buy a home,FAQ(info=time_duration_purchase),ANSWER(info=6 months to two-and-a-half years),on average 6 months to two-and-a-half years
how much can i get for my budgeted amount,customerr budget is around 500k,INFORM(budget=500K),ack(). Request(move_in_date),OK. Ask when buyer would like to move in
is condo include in your listing,customer are looking for a condo,"INFORM(intent=search_home,property_type=condo)",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
what types of stores are there,customer wants to know about nearby grocery store,REQUEST(nearby_grocery),OFFER_SLOT_VALUE(nearby_grocery=Safeway),Nearby grocery is Safeway
i d like to know which neighborhoods you are currently handling,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
does the price includes the move,customer are looking to move immediately,INFORM(move_in_date=immediately),OFFER(property_name=Edgewater),Offer a property named Edgewater
how many kitchens the apartment have,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
i do not want to pay more than 500k for an apartment,customerr budget is around 500k,INFORM(budget=500K),ack(). Request(move_in_date),OK. Ask when buyer would like to move in
what are the amenities provided in this building,customer wants to know the amenties that are in the building,REQUEST(amenties),"OFFER_SLOT_VALUE(amenties = {gym,swimming pool})",Amenties include gym and swimming pool
do you thing is it possible to view moving options if i will be moving in 2 years,customer are looking to move in the next two year,INFORM(move_in_date=within_2_years),"SELECT(property_name={House on Maple Street, H...",Offer a property named House on Maple Street a...
what can i do if i do not want any of their neighborhoods,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
i want the best house in town,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
are there any condos available,customer are looking for a condo,"INFORM(intent=search_home,property_type=condo)",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
i d like to move within the next two years,customer are looking to move in the next two year,INFORM(move_in_date=within_2_years),"SELECT(property_name={House on Maple Street, H...",Offer a property named House on Maple Street a...
can want to know what the first step to buying a home is,customer wants to know what the first step to buying a home is,FAQ(info=first_step_to_purchase),ANSWER(info=getting pre-approved for a mortgage),first step is to get pre-approved for a mortgage
what other services do you offer,customer wants to know what service the real estate agent provides,FAQ(info=type_of_services_provided),"ANSWER(info={help you find a home, negotiate a...","services include help you find a home, negotia..."
besides showing houses to me what else service can you provide,customer wants to know what service the real estate agent provides,FAQ(info=type_of_services_provided),"ANSWER(info={help you find a home, negotiate a...","services include help you find a home, negotia..."
is it a 2 story apartment,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
how many grocery stores are near the property,customer wants to know about nearby grocery store,REQUEST(nearby_grocery),OFFER_SLOT_VALUE(nearby_grocery=Safeway),Nearby grocery is Safeway
esta permitido tener un perro grande en el departamneto,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
i would like to buy an affordable home,customer are looking to buy an affordable home,INFORM(category=affordable),ack(). Request(budget),OK. Ask buyer about his budget
see several homes with the same characteristics to be able to compare,customer wants to know how many homes customer should view before making a decision,FAQ(info=num_home_views),ANSWER(info=on average 10 homes),on average home buyers view 10 homes
que debo hacer primero para comprar una casa,customer wants to know what the first step to buying a home is,FAQ(info=first_step_to_purchase),ANSWER(info=getting pre-approved for a mortgage),first step is to get pre-approved for a mortgage
i need to move to arizona as soon as possible when the closest flight departs,customer are looking to move immediately,INFORM(move_in_date=immediately),OFFER(property_name=Edgewater),Offer a property named Edgewater
how much credit do i need,customer wants to know how many homes customer should view before making a decision,FAQ(info=num_home_views),ANSWER(info=on average 10 homes),on average home buyers view 10 homes
beside downpayment i must pay another thing to get apartment keys,"customer wants to know about other fees, beside downpayment",REQUEST(fee),OFFER_SLOT_VALUE(fee=trash_fee),Fee includes trash fee
how much fee,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
none of above,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
luxury home is that i need,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
how many people are allowed,customer wants to know how many bedrooms the apartment has,REQUEST(num_of_bedrooms),OFFER_SLOT_VALUE(num_of_bedrooms=1),number of bedrooms equals one
is the closing process difficult,customer wants to know what happens during closing process,FAQ(info=closing_process),"ANSWER(info = {sign legal documents,home inspe...","sign legal documents,home inspection,pay trans..."
what is your fee,customer wants to know how much a real estate agent charge,FAQ(info=typical_charge_amount),ANSWER(info=2% to 3% of the sales price),2% to 3% of the sales price
what is the number of rooms in the apartment,customer wants to know how many bedrooms the apartment has,REQUEST(num_of_bedrooms),OFFER_SLOT_VALUE(num_of_bedrooms=1),number of bedrooms equals one
is there a set time for how long it will take to purchase a house,customer wants to know how long it usually takes to buy a home,FAQ(info=time_duration_purchase),ANSWER(info=6 months to two-and-a-half years),on average 6 months to two-and-a-half years
how much house style is there,customer wants to know how many homes customer should view before making a decision,FAQ(info=num_home_views),ANSWER(info=on average 10 homes),on average home buyers view 10 homes
what service do you provide,customer wants to know what service the real estate agent provides,FAQ(info=type_of_services_provided),"ANSWER(info={help you find a home, negotiate a...","services include help you find a home, negotia..."
how many homes should we view,customer wants to know how many homes customer should view before making a decision,FAQ(info=num_home_views),ANSWER(info=on average 10 homes),on average home buyers view 10 homes
i need a spacious apartment how big is it,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
sir i want know about fees is there any fee beside downpayment,"customer wants to know about other fees, beside downpayment",REQUEST(fee),OFFER_SLOT_VALUE(fee=trash_fee),Fee includes trash fee
can i increase or decrease the amount of my budget,customerr budget is around 500k,INFORM(budget=500K),ack(). Request(move_in_date),OK. Ask when buyer would like to move in
está buscando una casa de lujo,customer wants to know how much a real estate agent charge,FAQ(info=typical_charge_amount),ANSWER(info=2% to 3% of the sales price),2% to 3% of the sales price
excuse me what size does this department have,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
areas of the real estate agent,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
what is the deposit,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
what are the measurements of the parking area that are relevant to me,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
do you have houses for rent or sale in which neighborhoods,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
cuanto sale un apartamento con todos los servicios incluidos,customer wants to know how much credit score customer need to buy a home,FAQ(info=how_many_credit_score),ANSWER(info=minimum 500  score to get a loan),need a minimum 500 credit score to get a loan
i want to know how safe the neighborhood is,customer wants to know how safe the neighborhood is,REQUEST(neighborhood_safety),OFFER_SLOT_VALUE(neighborhood_safety=low crime),Neighborhood safety is low crime
what is the closing process,customer wants to know what happens during closing process,FAQ(info=closing_process),"ANSWER(info = {sign legal documents,home inspe...","sign legal documents,home inspection,pay trans..."
i m looking for an luxury home,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
in the next two years i must have changed my house,customer are looking to move in the next two year,INFORM(move_in_date=within_2_years),"SELECT(property_name={House on Maple Street, H...",Offer a property named House on Maple Street a...
is my credit score ok,customer wants to know how much credit score customer need to buy a home,FAQ(info=how_many_credit_score),ANSWER(info=minimum 500  score to get a loan),need a minimum 500 credit score to get a loan
do you have a luxury home for sale,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
how longe you stay,customerr budget is around 500k,INFORM(budget=500K),ack(). Request(move_in_date),OK. Ask when buyer would like to move in
i d like to know the level of safety in the neighborhod,customer wants to know how safe the neighborhood is,REQUEST(neighborhood_safety),OFFER_SLOT_VALUE(neighborhood_safety=low crime),Neighborhood safety is low crime
how much sq ft the apartment is,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
how safe is the neighborhood,customer wants to know how safe the neighborhood is,REQUEST(neighborhood_safety),OFFER_SLOT_VALUE(neighborhood_safety=low crime),Neighborhood safety is low crime
i want a single family home,customer are looking for a single family home,"INFORM(intent=search_home,property_type=single...",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
the important advice of an agent of viennese roots,customer wants to know what service the real estate agent provides,FAQ(info=type_of_services_provided),"ANSWER(info={help you find a home, negotiate a...","services include help you find a home, negotia..."
i m not sure if it will be good,customer are looking for a condo,"INFORM(intent=search_home,property_type=condo)",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
i need affordable home,customer are looking to buy an affordable home,INFORM(category=affordable),ack(). Request(budget),OK. Ask buyer about his budget
about the apartment how s is the parking situation,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
by what means can you advise me,customer wants to know what service the real estate agent provides,FAQ(info=type_of_services_provided),"ANSWER(info={help you find a home, negotiate a...","services include help you find a home, negotia..."
i want to sublet a portion of the place for coaching classes,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
none of above,customer wants to know the amenties that are in the building,REQUEST(amenties),"OFFER_SLOT_VALUE(amenties = {gym,swimming pool})",Amenties include gym and swimming pool
can i have pets in the apartment,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
buenos dias,customer are looking to move in the next two year,INFORM(move_in_date=within_2_years),"SELECT(property_name={House on Maple Street, H...",Offer a property named House on Maple Street a...
i want to find a family home,customer are looking for a single family home,"INFORM(intent=search_home,property_type=single...",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
i want to bring my dog with me is that aloud,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
can i pay credit score,customer wants to know how much credit score customer need to buy a home,FAQ(info=how_many_credit_score),ANSWER(info=minimum 500  score to get a loan),need a minimum 500 credit score to get a loan
what is the policy of subleasing,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
are 500000 will be enough to buy a new home,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
is it mandatory to share it,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
which sector of the city do you cover,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
posee gimnasio el edificio,customer wants to know the amenties that are in the building,REQUEST(amenties),"OFFER_SLOT_VALUE(amenties = {gym,swimming pool})",Amenties include gym and swimming pool
so tell me what services do u provide,customer wants to know what service the real estate agent provides,FAQ(info=type_of_services_provided),"ANSWER(info={help you find a home, negotiate a...","services include help you find a home, negotia..."
how the credit affects the purchase,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
what is the simple leasing policy,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
buenos dias,customer are looking to move immediately,INFORM(move_in_date=immediately),OFFER(property_name=Edgewater),Offer a property named Edgewater
can i sublet the place i will move in,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
i can bring my dog with me,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
how much will we have to deposit,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
what are the most affordable options,customer are looking to buy an affordable home,INFORM(category=affordable),ack(). Request(budget),OK. Ask buyer about his budget
how many rooms does the apartment have,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
my payment need to be how much exactly,customer wants to know how much customerr down payment should be,FAQ(info=amount_of_down_payment),ANSWER(info=minimal 3.5% down payment),minimal 3.5% down payment
kindly explain for me subletting policy,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
i am looking for an apartment under 500k,customerr budget is around 500k,INFORM(budget=500K),ack(). Request(move_in_date),OK. Ask when buyer would like to move in
how many bedrooms it has,customer wants to know how many bedrooms the apartment has,REQUEST(num_of_bedrooms),OFFER_SLOT_VALUE(num_of_bedrooms=1),number of bedrooms equals one
is there a balcony,customer wants to know how much a real estate agent charge,FAQ(info=typical_charge_amount),ANSWER(info=2% to 3% of the sales price),2% to 3% of the sales price
i will look at how many halls will i decide to decide on one of the houses,customer wants to know how many homes customer should view before making a decision,FAQ(info=num_home_views),ANSWER(info=on average 10 homes),on average home buyers view 10 homes
how long is the lease,customer wants to know the duration of the lease term,REQUEST(lease_duration),OFFER_SLOT_VALUE(lease_duration=2 years),Lease duration is 2 years
swimming pool is a must,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
what do i have to do to move in the next two years,customer are looking to move in the next two year,INFORM(move_in_date=within_2_years),"SELECT(property_name={House on Maple Street, H...",Offer a property named House on Maple Street a...
where can i find a single family home,customer are looking for a single family home,"INFORM(intent=search_home,property_type=single...",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
what might you say to or ask a customer service agent in this scenario,customer wants to know what happens during closing process,FAQ(info=closing_process),"ANSWER(info = {sign legal documents,home inspe...","sign legal documents,home inspection,pay trans..."
what do you have that s affordable,customer are looking to buy an affordable home,INFORM(category=affordable),ack(). Request(budget),OK. Ask buyer about his budget
is that policy legal,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
i need to find an affordable home,customer are looking to buy an affordable home,INFORM(category=affordable),ack(). Request(budget),OK. Ask buyer about his budget
i really want to know what the deposit will be,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
what should i do with the leak in the room,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
how much is the deposit,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
can i find a home within a certain price range,customer are looking to buy an affordable home,INFORM(category=affordable),ack(). Request(budget),OK. Ask buyer about his budget
if i currently have a loan can i opt for this home,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
i need a moving option immediately what do you have for me,customer are looking to move immediately,INFORM(move_in_date=immediately),OFFER(property_name=Edgewater),Offer a property named Edgewater
in the course of those two years can i change my mind,customer are looking to move in the next two year,INFORM(move_in_date=within_2_years),"SELECT(property_name={House on Maple Street, H...",Offer a property named House on Maple Street a...
buenos dias,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
can i move too long,customer are looking to move immediately,INFORM(move_in_date=immediately),OFFER(property_name=Edgewater),Offer a property named Edgewater
is it a safe area,customer wants to know how safe the neighborhood is,REQUEST(neighborhood_safety),OFFER_SLOT_VALUE(neighborhood_safety=low crime),Neighborhood safety is low crime
el tiempo de arrendamiento es renobable,customer wants to know the duration of the lease term,REQUEST(lease_duration),OFFER_SLOT_VALUE(lease_duration=2 years),Lease duration is 2 years
what do these real estate agents do,customer wants to know what service the real estate agent provides,FAQ(info=type_of_services_provided),"ANSWER(info={help you find a home, negotiate a...","services include help you find a home, negotia..."
what will the deposit set me back,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
how long is this lease,customer wants to know the duration of the lease term,REQUEST(lease_duration),OFFER_SLOT_VALUE(lease_duration=2 years),Lease duration is 2 years
que lugares tiene usted a disposicion,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
i can park my car for a month,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
the down payment is important,customer wants to know how much customerr down payment should be,FAQ(info=amount_of_down_payment),ANSWER(info=minimal 3.5% down payment),minimal 3.5% down payment
how long does it take to sign the purchase papers for a house,customer wants to know how long it usually takes to buy a home,FAQ(info=time_duration_purchase),ANSWER(info=6 months to two-and-a-half years),on average 6 months to two-and-a-half years
i would like to know about the sublease policy,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
how long does the apartment lease,customer wants to know the duration of the lease term,REQUEST(lease_duration),OFFER_SLOT_VALUE(lease_duration=2 years),Lease duration is 2 years
none of above,customer wants to know how many bedrooms the apartment has,REQUEST(num_of_bedrooms),OFFER_SLOT_VALUE(num_of_bedrooms=1),number of bedrooms equals one
is there other options to choose,customer are looking to buy an affordable home,INFORM(category=affordable),ack(). Request(budget),OK. Ask buyer about his budget
what is your best service,customer wants to know what service the real estate agent provides,FAQ(info=type_of_services_provided),"ANSWER(info={help you find a home, negotiate a...","services include help you find a home, negotia..."
you can request more car parking places per apartment,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
do you have an offer of real estate in the central area of the city,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
how much my downpayment should be,customer wants to know how much customerr down payment should be,FAQ(info=amount_of_down_payment),ANSWER(info=minimal 3.5% down payment),minimal 3.5% down payment
what neighborhoods the real estate agent usually covers,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
in which neighborhoods do you have listings,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
what make that place special,customer wants to know the amenties that are in the building,REQUEST(amenties),"OFFER_SLOT_VALUE(amenties = {gym,swimming pool})",Amenties include gym and swimming pool
its in a nice place,customer are looking for a condo,"INFORM(intent=search_home,property_type=condo)",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
what is the first step to buy a house,customer wants to know what the first step to buying a home is,FAQ(info=first_step_to_purchase),ANSWER(info=getting pre-approved for a mortgage),first step is to get pre-approved for a mortgage
i want a house in the city i need you to raise options,customer are looking to move in the next two year,INFORM(move_in_date=within_2_years),"SELECT(property_name={House on Maple Street, H...",Offer a property named House on Maple Street a...
i have no idea,customer wants to know the amenties that are in the building,REQUEST(amenties),"OFFER_SLOT_VALUE(amenties = {gym,swimming pool})",Amenties include gym and swimming pool
we need to move asap,customer are looking to move immediately,INFORM(move_in_date=immediately),OFFER(property_name=Edgewater),Offer a property named Edgewater
how much is the down payment,customer wants to know how much customerr down payment should be,FAQ(info=amount_of_down_payment),ANSWER(info=minimal 3.5% down payment),minimal 3.5% down payment
is there a basement,customer are looking for a single family home,"INFORM(intent=search_home,property_type=single...",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
which credit score you need to buy a house,customer wants to know how much credit score customer need to buy a home,FAQ(info=how_many_credit_score),ANSWER(info=minimum 500  score to get a loan),need a minimum 500 credit score to get a loan
is my cat can stay on apartment,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
i would like a house to live alone,customer are looking for a single family home,"INFORM(intent=search_home,property_type=single...",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
can 2 beds enter a room,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
can i move immediately,customer are looking to move immediately,INFORM(move_in_date=immediately),OFFER(property_name=Edgewater),Offer a property named Edgewater
buenos dias,"customer wants to know about other fees, beside downpayment",REQUEST(fee),OFFER_SLOT_VALUE(fee=trash_fee),Fee includes trash fee
who want to know how your credit score affects home buying,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
do i have to pay some kind of deposit how much would it be,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
how many bedrooms does the apartment counts,customer wants to know how many bedrooms the apartment has,REQUEST(num_of_bedrooms),OFFER_SLOT_VALUE(num_of_bedrooms=1),number of bedrooms equals one
how many services will covers,customer wants to know what service the real estate agent provides,FAQ(info=type_of_services_provided),"ANSWER(info={help you find a home, negotiate a...","services include help you find a home, negotia..."
what is the parking situation,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
does it have a huge variety,customer wants to know about nearby grocery store,REQUEST(nearby_grocery),OFFER_SLOT_VALUE(nearby_grocery=Safeway),Nearby grocery is Safeway
is the closing process too hard,customer wants to know what happens during closing process,FAQ(info=closing_process),"ANSWER(info = {sign legal documents,home inspe...","sign legal documents,home inspection,pay trans..."
would you please show me the amenties that are in the building,customer wants to know the amenties that are in the building,REQUEST(amenties),"OFFER_SLOT_VALUE(amenties = {gym,swimming pool})",Amenties include gym and swimming pool
how expensive is a fast moving service,customer are looking to move immediately,INFORM(move_in_date=immediately),OFFER(property_name=Edgewater),Offer a property named Edgewater
pets are prohibited,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
what kind of pets can i have in the apartment,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
do you have any luxury homes,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
is it safe to stay here at night,customer wants to know how safe the neighborhood is,REQUEST(neighborhood_safety),OFFER_SLOT_VALUE(neighborhood_safety=low crime),Neighborhood safety is low crime
how much credit do i need,"customer wants to know about other fees, beside downpayment",REQUEST(fee),OFFER_SLOT_VALUE(fee=trash_fee),Fee includes trash fee
i am looking for a villa,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
can you tell me how many bedrooms has the apartment,customer wants to know how many bedrooms the apartment has,REQUEST(num_of_bedrooms),OFFER_SLOT_VALUE(num_of_bedrooms=1),number of bedrooms equals one
how fast is the process of closing,customer wants to know what happens during closing process,FAQ(info=closing_process),"ANSWER(info = {sign legal documents,home inspe...","sign legal documents,home inspection,pay trans..."
can you tell me about all the fees related to buying a home,"customer wants to know about other fees, beside downpayment",REQUEST(fee),OFFER_SLOT_VALUE(fee=trash_fee),Fee includes trash fee
what is your policy to accept pets,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
can my cat live in the house,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
how fast is the moving service,customer are looking to move immediately,INFORM(move_in_date=immediately),OFFER(property_name=Edgewater),Offer a property named Edgewater
i want to purchase a house that is not pricey,customer are looking to buy an affordable home,INFORM(category=affordable),ack(). Request(budget),OK. Ask buyer about his budget
how much credit do i need,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
what is the financing,customer are looking for a single family home,"INFORM(intent=search_home,property_type=single...",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
i would ask him what rules does the building have regarding the,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
financing is flexible,"customer wants to know about other fees, beside downpayment",REQUEST(fee),OFFER_SLOT_VALUE(fee=trash_fee),Fee includes trash fee
i am not searching for an expensive home,customer are looking to buy an affordable home,INFORM(category=affordable),ack(). Request(budget),OK. Ask buyer about his budget
cristo viene,customer wants to know about nearby grocery store,REQUEST(nearby_grocery),OFFER_SLOT_VALUE(nearby_grocery=Safeway),Nearby grocery is Safeway
admit visits with pets,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
how much is the deposit for that property,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
before my decision how many homes would you suggest i view,customer wants to know how many homes customer should view before making a decision,FAQ(info=num_home_views),ANSWER(info=on average 10 homes),on average home buyers view 10 homes
the house is ready to move,customer wants to know how long it usually takes to buy a home,FAQ(info=time_duration_purchase),ANSWER(info=6 months to two-and-a-half years),on average 6 months to two-and-a-half years
how much deposit do i need to buy a house,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
is the grocery store near the property well stocked,customer wants to know about nearby grocery store,REQUEST(nearby_grocery),OFFER_SLOT_VALUE(nearby_grocery=Safeway),Nearby grocery is Safeway
